Prefix,Long Name (name),Text,Relations,Relation Targets
REQ-000066/A,Power,Maximum power consumption shall be 430 W,Satisfy → Power Subsytem; Satisfy → AC/DC Power Supply,Power Subsytem; AC/DC Power Supply
REQ-000076/A,Fanless CPU Cooling,The EBSD System shall have heat-sink with no fans on CPU,Satisfy → EBSD; Satisfy → Fan,EBSD; Fan
REQ-000156/A,Baseline Test Performance,The EBSD System shall perform baseline performance test in 90 seconds.,Satisfy → EBSD; Satisfy → Control Subsystem; Satisfy → PCB SC100,EBSD; Control Subsystem; PCB SC100
REQ-000163/A,EBSD junction operating temperatures,The operating temperature on boards shall not exceed 70° C.,Satisfy → EBSD; Satisfy → Control Subsystem,EBSD; Control Subsystem
REQ-000166/A,Per Unit Assembly Costs,The EBSD component cost shall not exceed 500 USD.,Satisfy → EBSD,EBSD
REQ-000152/A,USB - A,The EBSD System shall have two USB A ports.,Satisfy → EBSD; Satisfy → PCB SC100,EBSD; PCB SC100
REQ-000062/A,Provide Storage Capabilities,"The EBSD system shall provide mass storage for programs and data. It should be able to transfer data to and from mass storage devices, subject only to size limitations.",Satisfy → EBSD,EBSD
REQ-000057/A,Provide Execution Capabilities,EBSD PC shall be Specific user's EBSD PC hardware/software system configuration execution capability requirements the responsibility of the user.,Satisfy → EBSD,EBSD
REQ-000052/A,Operating Pressure Environment,The EBSD shall meet performance requirements specified herein during exposure to an ambient pressure environment ranging from 9.5 to 16.0 pounds per square inch absolute (psia).,Satisfy → EBSD,EBSD
REQ-000059/A,Pressure Environment,The EBSD System hardware components shall meet performance requirements specified herein following exposure to the nominal pressure environments.,Satisfy → EBSD,EBSD
REQ-000053/A,Vibration,The EBSD hardware components shall comply with 1g,Satisfy → EBSD,EBSD
REQ-000068/A,Enriched Oxygen Environment,The EBSD hardware components shall meet specified performance when the atmosphere is at 10.2 +/- 0.2 psia with an oxygen concentration of up to 30 percent.,Satisfy → EBSD,EBSD
REQ-000071/A,Humidity,The EBSD hardware components shall meet the performance requirements specified herein when exposed to 30..90% (noncondensing) percent relative humidity,Satisfy → EBSD,EBSD
REQ-000056/A,Shock,The EBSD hardware components shall meet 15g shock requirement,Satisfy → EBSD,EBSD
REQ-000050/A,Operating Thermal Environment,EBSD System shall operate between 0 and 50 °C,Satisfy → EBSD,EBSD
REQ-000063/A,Ionizing Radiation,"The EBSD hardware components shall meet specified performance when exposed to the nominal Single Event Effects (SEE) environment defined in the End Item Specification - MJ070-0001-1E, Performance & Design Rqmts, Sections: 3.5.20Avionics Radiation Requirements and 10.1.7 Radiation.",Satisfy → EBSD,EBSD
REQ-000070/A,Design,The design of the EBSD PC shall fulfill / communicate: Robustness; High quality; Brand recognition; Ready for customizing; Color scheme to Siemens corporate colors.,Satisfy → EBSD,EBSD
REQ-000072/A,Failure Propagation,Simcenter EBSD PC COTS hardware shall be analyzed to determine its intrinsic failure propagation capabilities. Failure propagations for specific hardware/software system configuration of data systems will be addressed in the features specification.,Satisfy → EBSD,EBSD
REQ-000055/A,Failure Tolerance,Simcenter EBSD PC software system configuration requirements for failure tolerance levels shall be address in the features specification.,Satisfy → EBSD,EBSD
